time,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.game_rotation_vector#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,sound#mean,sound#min,sound#max,sound#std,speed#mean,speed#min,speed#max,speed#std,target
78,9.811476292,9.758895473,9.849410956,0.014625507,0.02934047,0.029014182,0.029526427,0.000118701,0.001650775,0,0.003533083,0.000736964,0.01622136,0.014172422,0.018695316,0.000981865,0.020977838,0.002495366,0.052409582,0.011044687,354.2869331,353.5983347,354.942707,0.245676329,0.05041314,0.044777159,0.056351354,0.002109226,0,0,0,0,0,0,0,0,Still
145,9.939206783,7.707437422,17.14663119,1.775944297,0.999924606,0.999903335,0.999945877,3.01E-05,0.036325714,0.011669388,0.059387896,0.0202897,0.039022539,0.01413233,0.085493695,0.0186294,0.879220183,0.641116953,1.185809922,0.278729993,332.6955767,330.4610537,339.1086074,1.705816197,0.999981229,0.999963054,0.999999404,2.57E-05,89.20021019,89.06514335,89.33527703,0.191013358,16.539349,16.539349,16.539349,0.628594594,Car
150,9.827177836,9.804817127,9.849262113,0.011199106,0.665215407,0.665212601,0.665218213,3.97E-06,0.001524617,0,0.002609354,0.000712701,0.016301566,0.014644966,0.017373938,0.000875954,0.034110231,0.025709137,0.042511326,0.011880942,74.75265314,73.22349347,75.26857429,0.413704157,0.610456221,0.610456221,0.610456221,0.011312336,0,0,0,0,0,0,0,0,Still
105,9.673039113,7.659673729,12.30429759,0.862553258,0.996220934,0.993780916,0.998660952,0.003450706,0.036440315,0.020463062,0.052512245,0.010552773,0.050758745,0.024731578,0.081886899,0.018036503,1.48836058,0.575910313,2.415878964,0.920076869,373.5560394,359.8972497,397.0717413,8.870010567,0.998112317,0.998112317,0.998112317,0.002787518,87.4703771,87.4703771,87.4703771,2.284186361,17.739895,17.739895,17.739895,0.628594594,Car
77,9.993466321,8.965620961,10.89164512,0.50411706,0.563791884,0.521799104,0.672663745,0.064792132,0.183202098,0.020666857,0.380875067,0.098819138,0.265652185,0.141208499,0.313019733,0.083174815,1.658307502,0.379803006,2.79599532,1.12222546,193.2014584,35.86497159,360.5604677,181.7294547,0.322241915,0.308054844,0.378193174,0.025607852,89.77073232,89.77073232,89.77073232,0.006389235,9,9,9,0,Car
559,9.330481711,9.149029238,9.520043907,0.103856563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.36112724,57.36112724,57.36112724,1.006611253,0,0,0,0,Car
41,9.789771293,9.758750712,9.816196876,0.013488593,0.295890065,0.295890065,0.295890065,4.22E-05,0.004099865,0.002731872,0.00657922,0.001801123,0.042990844,0.041700226,0.044151656,0.001017863,0.027440834,0.023156696,0.031900714,0.003641547,336.8915069,336.8915069,336.8915069,0.047299785,0.201198417,0.201079137,0.201317697,0.000168688,65.15836901,65.15836901,65.15836901,0,0,0,0,0,Train
20,9.906011476,6.431645697,14.20260333,1.044684104,0.700760401,0.686746497,0.71833923,0.007095992,0.140902237,0.006566731,0.690413822,0.119666966,0.142145209,0.006821021,0.680812351,0.118567845,1.003519754,0.041030953,4.401256662,0.739564646,253.1023786,244.9885959,260.1286451,3.284710595,0.929186733,0.9140702,0.941615192,0.006542373,0,0,0,0,7.797239267,7.5873494,8.146695,0.304673347,Bus
35,9.639711442,8.996134055,10.02780194,0.255052885,0.969449683,0.965963394,0.972935971,0.004930357,0.041554064,0.008014424,0.123026208,0.030074237,0.065754016,0.039603879,0.116849852,0.029320958,0.27899686,0.157357566,0.374630842,0.084821277,131.2940978,129.6551219,132.6913295,1.36531982,0.780795204,0.774057911,0.786845053,0.005062004,89.80844083,89.80844083,89.80844083,0.010171437,4.75,4.75,4.75,0,Bus
27,9.602108563,9.014786483,10.06852813,0.267790552,0.896536138,0.894286543,0.897685293,0.001528964,0.037450782,0.00717439,0.084820304,0.021390824,0.030491147,0.021024574,0.039108119,0.008139505,0.255171829,0.158721899,0.345489805,0.076332631,151.073183,150.4924193,151.4830711,0.421325572,0.96808205,0.967066421,0.968806414,0.000477109,89.81573848,89.81573848,89.81573848,0.004995081,0,0,0,0,Train
234,9.864564603,9.554662882,10.3433459,0.114261228,0.783412281,0.779935421,0.795632958,0.005568776,0.131283457,0.131283457,0.131283457,0.003330783,0.067150734,0.067150734,0.067150734,1.161836035,0.071747333,0.071747333,0.071747333,0.28983415,181.20865,180.4460994,182.8177304,0.983991459,0.999972633,0.999952701,0.999997206,2.26E-05,70.57062121,70.57062121,70.57062121,7.974878399,0,0,0,0,Still
135,9.446526844,8.90104806,10.01336463,0.317446077,0.998855983,0.998771518,0.999039573,8.25E-05,0.022525384,0.005361722,0.058538724,0.013113601,0.04490858,0.02881993,0.072205271,0.017258897,0.411267163,0.180851619,1.126611434,0.35382937,196.7141999,196.6531626,196.7717426,0.052250311,0.989397875,0.989045802,0.990213199,0.000436269,89.79213933,89.79213933,89.79213933,0.037445572,0,0,0,0,Train
11,9.365727324,3.758711875,13.72480981,2.508426729,0.69353597,0.69353597,0.69353597,0.00328833,0.296977565,0.049531932,0.770731878,0.231980726,0.334016276,0.057652363,0.790935754,0.226773028,0.39853954,0.39853954,0.39853954,0,349.5343859,346.5654468,351.7602469,1.74726884,0.578431444,0.578431444,0.578431444,0.009703505,85.03130447,85.03130447,85.03130447,7.035722179,6.965024,6.965024,6.965024,0.204413964,Car
563,9.932077713,9.608102271,10.20423155,0.145971591,0.301756901,0.299379876,0.303967945,0.001951304,0.017878648,0.004633901,0.057902512,0.012215627,0.03350592,0.031193911,0.036579279,0.002350332,0.534977246,0.225468109,0.725922695,0.270474969,333.7978719,329.0025618,338.9213051,4.967505978,0.329745121,0.305658527,0.372181427,0.023358269,89.76378507,89.70846558,89.81910456,0.078233577,9.5,9.5,9.5,0,Car
7,9.826201015,8.522106239,11.36447368,0.389263437,0.414550152,0.397585803,0.431514501,0.023991213,0.029334805,0.028126348,0.030543262,0.001709016,0.102843298,0.102843298,0.102843298,0.046960853,1.36007825,1.36007825,1.36007825,0.480023451,218.6871471,218.6871471,218.6871471,0,0.964534722,0.964534722,0.964534722,0.016306794,78.50624183,78.50624183,78.50624183,0.727791429,2.6472714,2.6472714,2.6472714,0.463508424,Bus
30,10.18086734,10.1604826,10.1983758,0.013581181,0.995052764,0.995039056,0.995078823,1.45E-05,0.006378032,0.002490223,0.012354881,0.002531852,0.034454009,0.029251596,0.039222242,0.003270113,0.0207046,0.008917249,0.029262323,0.008709555,238.466075,238.4526676,238.4794825,0.018960991,0.989800013,0.989766282,0.989846314,3.05E-05,80.62089433,80.62089433,80.62089433,0,0,0,0,0,Still
32,9.709153021,9.183982831,10.57302469,0.298172238,0.779378918,0.763048696,0.796032409,0.008233283,0.251735071,0.246238566,0.257231575,0.007773231,0.076223645,0.040667294,0.111779995,0.050284273,0.10104854,0.032270884,0.169826195,0.097266294,70.72800784,66.55149209,73.61612527,2.210563655,0.582883063,0.578187394,0.587578732,0.006640679,84.4749283,84.41888953,84.53096708,0.079250796,0.993526,0.993526,0.993526,0,Still
37,9.528491943,9.0519519,9.987013936,0.312273768,0.780513519,0.773229189,0.785057156,0.005474934,0.108372343,0.009608555,0.959588476,0.189651912,0.209903331,0.035575738,0.761539345,0.229774086,0.65852092,0.224795689,1.031575634,0.406797436,236.3311859,234.2632022,239.1536222,1.850300845,0.903642052,0.89745509,0.908650254,0.004866431,89.75435982,89.75435982,89.75435982,0.025711921,17.75,17.75,17.75,0,Car
20,10.09849406,4.184304743,20.96536867,4.496925603,0.813853583,0.813853583,0.813853583,0.017401499,1.936650541,0.678904506,3.5498734,1.213517578,2.253986948,0.880997528,4.452186446,1.143073534,6.589221631,6.589221631,6.589221631,2.478024753,178.2749318,62.1331837,365.1580379,116.189428,0.998301852,0.998301852,0.998301852,0.024792568,0,0,0,0,0,0,0,0,Walking
224,10.19246377,10.08524721,10.25111884,0.054377099,0.991040984,0.986502682,0.994667649,0.003507948,0.088144367,0.008181956,0.393253255,0.107638935,0.07135945,0.034081973,0.142784269,0.045248904,0.128744857,0.043067176,0.251551077,0.07683481,216.8722287,216.4199601,217.3244972,0.639604328,0.99715201,0.996052479,0.999761569,0.001401778,69.34920219,69.34920219,69.34920219,1.805337429,0,0,0,0,Still
159,9.899483559,6.762555023,15.59466885,2.839777908,0.92180631,0.9095801,0.93734455,0.009404759,1.834563396,0.329424214,3.512055573,1.066838366,1.584286162,0.291985584,3.272676588,1.015249085,12.09295099,3.905136101,33.60487216,9.94345623,299.5378557,290.6124642,305.3174209,6.330849984,0.761913388,0.687126181,0.855705945,0.051060522,89.79579577,89.79579577,89.79579577,0.052428386,1.125,1,1.25,0.176776695,Walking
238,9.764914019,8.099911664,11.17852604,0.73941808,0.997470063,0.997161842,0.998074565,0.00041018,0.027931444,0.005971842,0.060281793,0.014852824,0.042840852,0.033202947,0.051397142,0.009649437,0.168623005,0.168623005,0.168623005,0.487024632,37.93941234,37.78568196,38.13315105,0.177155842,0.339335164,0.335829198,0.342841129,0.004958184,0,0,0,0,33.875,33.75,34,0.176776695,Car
