time,android.sensor.accelerometer#mean,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#std,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#std,android.sensor.orientation#mean,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#std,sound#mean,sound#std,speed#mean,speed#std,target
78,9.811476292,0.014625507,0.02934047,0.000118701,0.001650775,0.000736964,0.01622136,0.000981865,0.020977838,0.011044687,354.2869331,0.245676329,0.05041314,0.002109226,0,0,0,0,Still
145,9.939206783,1.775944297,0.999924606,3.01E-05,0.036325714,0.0202897,0.039022539,0.0186294,0.879220183,0.278729993,332.6955767,1.705816197,0.999981229,2.57E-05,89.20021019,0.191013358,16.539349,0.628594594,Car
150,9.827177836,0.011199106,0.665215407,3.97E-06,0.001524617,0.000712701,0.016301566,0.000875954,0.034110231,0.011880942,74.75265314,0.413704157,0.610456221,0.011312336,0,0,0,0,Still
105,9.673039113,0.862553258,0.996220934,0.003450706,0.036440315,0.010552773,0.050758745,0.018036503,1.48836058,0.920076869,373.5560394,8.870010567,0.998112317,0.002787518,87.4703771,2.284186361,17.739895,0.628594594,Car
77,9.993466321,0.50411706,0.563791884,0.064792132,0.183202098,0.098819138,0.265652185,0.083174815,1.658307502,1.12222546,193.2014584,181.7294547,0.322241915,0.025607852,89.77073232,0.006389235,9,0,Car
559,9.330481711,0.103856563,0,0,0,0,0,0,0,0,0,0,0,0,57.36112724,1.006611253,0,0,Car
41,9.789771293,0.013488593,0.295890065,4.22E-05,0.004099865,0.001801123,0.042990844,0.001017863,0.027440834,0.003641547,336.8915069,0.047299785,0.201198417,0.000168688,65.15836901,0,0,0,Train
20,9.906011476,1.044684104,0.700760401,0.007095992,0.140902237,0.119666966,0.142145209,0.118567845,1.003519754,0.739564646,253.1023786,3.284710595,0.929186733,0.006542373,0,0,7.797239267,0.304673347,Bus
35,9.639711442,0.255052885,0.969449683,0.004930357,0.041554064,0.030074237,0.065754016,0.029320958,0.27899686,0.084821277,131.2940978,1.36531982,0.780795204,0.005062004,89.80844083,0.010171437,4.75,0,Bus
27,9.602108563,0.267790552,0.896536138,0.001528964,0.037450782,0.021390824,0.030491147,0.008139505,0.255171829,0.076332631,151.073183,0.421325572,0.96808205,0.000477109,89.81573848,0.004995081,0,0,Train
234,9.864564603,0.114261228,0.783412281,0.005568776,0.131283457,0.003330783,0.067150734,1.161836035,0.071747333,0.28983415,181.20865,0.983991459,0.999972633,2.26E-05,70.57062121,7.974878399,0,0,Still
135,9.446526844,0.317446077,0.998855983,8.25E-05,0.022525384,0.013113601,0.04490858,0.017258897,0.411267163,0.35382937,196.7141999,0.052250311,0.989397875,0.000436269,89.79213933,0.037445572,0,0,Train
11,9.365727324,2.508426729,0.69353597,0.00328833,0.296977565,0.231980726,0.334016276,0.226773028,0.39853954,0,349.5343859,1.74726884,0.578431444,0.009703505,85.03130447,7.035722179,6.965024,0.204413964,Car
563,9.932077713,0.145971591,0.301756901,0.001951304,0.017878648,0.012215627,0.03350592,0.002350332,0.534977246,0.270474969,333.7978719,4.967505978,0.329745121,0.023358269,89.76378507,0.078233577,9.5,0,Car
7,9.826201015,0.389263437,0.414550152,0.023991213,0.029334805,0.001709016,0.102843298,0.046960853,1.36007825,0.480023451,218.6871471,0,0.964534722,0.016306794,78.50624183,0.727791429,2.6472714,0.463508424,Bus
30,10.18086734,0.013581181,0.995052764,1.45E-05,0.006378032,0.002531852,0.034454009,0.003270113,0.0207046,0.008709555,238.466075,0.018960991,0.989800013,3.05E-05,80.62089433,0,0,0,Still
32,9.709153021,0.298172238,0.779378918,0.008233283,0.251735071,0.007773231,0.076223645,0.050284273,0.10104854,0.097266294,70.72800784,2.210563655,0.582883063,0.006640679,84.4749283,0.079250796,0.993526,0,Still
37,9.528491943,0.312273768,0.780513519,0.005474934,0.108372343,0.189651912,0.209903331,0.229774086,0.65852092,0.406797436,236.3311859,1.850300845,0.903642052,0.004866431,89.75435982,0.025711921,17.75,0,Car
20,10.09849406,4.496925603,0.813853583,0.017401499,1.936650541,1.213517578,2.253986948,1.143073534,6.589221631,2.478024753,178.2749318,116.189428,0.998301852,0.024792568,0,0,0,0,Walking
224,10.19246377,0.054377099,0.991040984,0.003507948,0.088144367,0.107638935,0.07135945,0.045248904,0.128744857,0.07683481,216.8722287,0.639604328,0.99715201,0.001401778,69.34920219,1.805337429,0,0,Still
159,9.899483559,2.839777908,0.92180631,0.009404759,1.834563396,1.066838366,1.584286162,1.015249085,12.09295099,9.94345623,299.5378557,6.330849984,0.761913388,0.051060522,89.79579577,0.052428386,1.125,0.176776695,Walking
238,9.764914019,0.73941808,0.997470063,0.00041018,0.027931444,0.014852824,0.042840852,0.009649437,0.168623005,0.487024632,37.93941234,0.177155842,0.339335164,0.004958184,0,0,33.875,0.176776695,Car
74,9.840979637,0.013050549,0.260766137,3.89E-05,0.001668608,0.000685684,0.015878763,0.00097501,0.016455381,0.007074035,209.8414343,0.452031579,0.9653315,0.000124915,0,0,0,0,Still
40,9.821241691,0.023715294,0.603619201,0.000136543,0.001690059,0.000791429,0.016216834,0.001198259,0.031281214,0.036638288,124.5686608,0.355015942,0.885836771,0.010727711,0,0,0,0,Still
28,9.730397471,0.295130633,0.72354407,0.008057864,0.270307147,0.140345521,0.134245889,0.084074013,0.127391459,0.023216834,65.95051586,1.722855365,0.538070382,0.012324444,84.13318985,0.366980758,0.993526,0,Still
63,9.714569983,0.254989455,0.35609699,0.00041042,0.020230254,0.029359452,0.107102747,0.08801194,0.044141325,0.002747216,332.9658033,0.190480015,0.281466687,0.002474822,69.72577522,3.605398291,0,0,Train
70,8.534806608,3.697971015,0.983593332,0.010390431,1.244050107,0.813041533,1.285617279,0.661845432,5.794448333,2.830475023,381.3984623,103.6818092,0.958244699,0.021812278,89.75972662,0,1.5,0,Walking
41,10.02564492,0.272659906,0.900078904,0.008485358,0.029667163,0.031923552,0.051274126,0.02700697,0.413857487,0.360750857,291.0744089,22.20664547,0.977050842,0.000661843,88.9821194,1.023190914,0,0,Bus
